function_one_type,function_one_name,function_one_startline,function_one_endline,function_two_type,function_two_name,function_two_startline,function_two_endline,syntactic_type,similarity_line,similarity_token
selected,166275.java,159,171,selected,2558574.java,570,582,2,1,1
selected,1434515.java,77,89,selected,2558574.java,570,582,2,1,1
selected,2558574.java,570,582,selected,153582.java,256,268,2,1,1
selected,2688879.java,37,49,selected,2558574.java,570,582,2,1,1
selected,2558574.java,570,582,selected,2211044.java,280,292,2,1,1
selected,1262585.java,54,66,selected,2558574.java,570,582,2,1,1
selected,1752530.java,128,140,selected,2558574.java,570,582,2,1,1
selected,1632727.java,129,141,selected,2558574.java,570,582,2,1,1
selected,567178.java,45,57,selected,2558574.java,570,582,2,1,1
selected,2558574.java,570,582,selected,215042.java,58,70,2,1,1
selected,2082.java,64,76,selected,2558574.java,570,582,2,1,1
selected,836722.java,118,126,selected,77754.java,849,857,2,1,1
selected,1823751.java,50,58,selected,77754.java,849,857,2,1,1
selected,1676100.java,297,315,selected,1113498.java,86,104,2,1,1
selected,1676100.java,297,315,selected,1068957.java,11,29,2,1,1
selected,1676100.java,297,315,selected,572754.java,19,37,2,1,1
selected,861615.java,507,528,selected,880474.java,604,625,2,1,1
selected,927691.java,790,816,selected,375037.java,851,877,2,1,1
selected,927691.java,790,816,selected,2429982.java,836,862,2,1,1
default,122954.java,836,862,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,753625.java,754,780,2,1,1
selected,927691.java,790,816,selected,59218.java,732,758,2,1,1
selected,927691.java,754,780,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,1607771.java,838,864,2,1,1
selected,927691.java,790,816,selected,1931054.java,838,864,2,1,1
selected,927691.java,790,816,selected,2626904.java,838,864,2,1,1
selected,927691.java,790,816,selected,110490.java,838,864,2,1,1
selected,927691.java,790,816,selected,1966020.java,858,884,2,1,1
selected,927691.java,790,816,selected,1098324.java,815,841,2,1,1
selected,927691.java,790,816,selected,264272.java,754,780,2,1,1
selected,927691.java,790,816,selected,2599719.java,838,864,2,1,1
selected,927691.java,790,816,selected,1882693.java,837,863,2,1,1
selected,927691.java,790,816,selected,1560483.java,754,780,2,1,1
selected,1511595.java,834,860,selected,927691.java,790,816,2,1,1
default,77069.java,836,862,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,2554952.java,838,864,2,1,1
default,85394.java,836,862,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,209298.java,804,830,2,1,1
selected,927691.java,790,816,selected,1561076.java,908,934,2,1,1
selected,597475.java,838,864,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,1103041.java,838,864,2,1,1
selected,927691.java,790,816,selected,1139080.java,845,871,2,1,1
